index,x,y,z,xn,yn,zn,error
1297,-11.404532,0.137897,-2.909888,-0.133278,-0.245885,-0.960092,5.102757
1298,-11.394343,1.112452,-3.175044,-0.102304,-0.094473,-0.990257,7.387244
1299,-11.301381,2.087954,-3.224664,-0.020477,0.085747,-0.996106,11.043151
1300,-11.125245,3.066030,-3.154595,0.063116,0.399089,-0.914737,15.386396
1301,-10.879253,3.903581,-2.839145,0.105946,0.528786,-0.842117,8.394334
1302,-10.622621,4.556547,-2.092429,0.355243,0.759768,-0.544568,16.866815
1303,-10.475201,4.836171,-1.155107,0.168277,0.985044,-0.037033,14.646607
1304,-10.413805,4.653351,-0.239221,0.126055,0.983638,0.128708,9.126390
1305,-10.410655,4.242040,0.669719,0.076810,0.921714,0.380188,8.463767
1306,-10.461756,3.771057,1.435464,0.086931,0.844275,0.528813,8.566226
1308,-11.345503,3.982438,1.169785,0.168115,0.903104,0.395145,12.621255
1309,-11.358262,4.599402,0.422600,0.215691,0.928612,0.301924,5.289033
1310,-11.241881,5.002761,-0.527061,0.286149,0.939144,0.190071,9.279897
1311,-11.367355,5.082133,-1.444363,0.489705,0.869810,-0.060153,0.954426
1312,-11.605597,4.669479,-2.337291,0.385117,0.595963,-0.704637,9.038317
1313,-11.847464,3.918277,-2.923555,0.140532,0.345476,-0.927845,12.116339
1314,-12.098817,3.026476,-3.168073,0.039109,0.258513,-0.965216,10.193684
1315,-12.205571,2.093856,-3.301090,-0.032619,0.010603,-0.999412,6.012056
1316,-12.149992,1.073500,-3.143130,-0.081120,-0.120413,-0.989404,10.708274
1317,-12.130644,0.196955,-2.824059,-0.120123,-0.275082,-0.953887,5.004340
1318,-12.100389,-0.687181,-2.606838,-0.113868,-0.405380,-0.907029,3.475488
1319,-12.669689,-1.339098,-2.089635,-0.157837,-0.523536,-0.837256,10.998711
1320,-13.622141,-1.321207,-1.965914,-0.155615,-0.563939,-0.811022,6.743469
1321,-14.543357,-1.201646,-1.786346,-0.188741,-0.577495,-0.794277,3.575424
1322,-15.454567,-1.048409,-1.697714,-0.231065,-0.554162,-0.799695,4.075841
1323,-16.404658,-0.875883,-1.453026,-0.292235,-0.570468,-0.767571,7.176222
1324,-17.296813,-0.660095,-1.231415,-0.306938,-0.562272,-0.767880,4.193661
1325,-18.035434,-0.191639,-1.102209,-0.645414,-0.478917,-0.595045,21.607410
1326,-17.551012,0.162238,-1.766139,-0.313973,-0.475961,-0.821513,2.015848
1327,-16.656167,0.007492,-2.022765,-0.299631,-0.473844,-0.828066,7.885773
1328,-15.825712,-0.214423,-2.238772,-0.232116,-0.462427,-0.855736,8.036780
1329,-14.879616,-0.389351,-2.487096,-0.172084,-0.458970,-0.871627,11.364909
1330,-13.913921,-0.443448,-2.606593,-0.154080,-0.450381,-0.879441,11.754936
1331,-12.973152,0.067053,-2.564102,-0.106117,-0.333413,-0.936790,1.056066
1332,-13.909534,0.384729,-2.964468,-0.104167,-0.307604,-0.945796,8.334486
1333,-14.845824,0.417868,-2.973029,-0.121088,-0.312304,-0.942233,11.103257
1334,-15.772725,0.447508,-2.767400,-0.217323,-0.370972,-0.902857,2.196221
1335,-16.678599,0.683025,-2.491303,-0.269054,-0.363682,-0.891822,8.404160
1336,-17.514549,0.859558,-2.173710,-0.295526,-0.365662,-0.882585,5.207134
1337,-18.374723,1.124818,-1.857394,-0.691602,-0.349552,-0.632060,8.729303
1338,-19.220022,1.472160,-1.675818,-0.929829,-0.266713,-0.253538,3.711776
1339,-20.001711,1.962796,-1.495898,0.957816,0.223583,0.180552,11.727222
1344,-7.605203,-3.151822,-1.731251,-0.154032,-0.745344,-0.648641,8.767712
1345,-7.532553,-3.714788,-0.983372,-0.138715,-0.856621,-0.496949,12.503606
